711. [101002][10100200] M16A4 automatic rifle | assault rifle.
31024. [1101002028][1101002028] Blood Storm -M16A4 ( Level 6 ) | Can be upgraded in the research institute to obtain additional effects.
31025. [1101002029][1101002029] Blood Storm -M16A4 ( Level 7 ) | Can be upgraded in the research institute to obtain additional effects.
31026. [1101002030][1101002030] Gilt Iron Cannon -M16A4 |
31027. [1101002038][1101002038] Ancient City Agent -M16A4 |
31028. [1101002039][1101002039] Cyber Warrior -M16A4 |
31029. [1101002040][1101002040] Sniper Assassin -M16A4 |
31030. [1101002041][1101002041] Begonia Witch -M16A4 |
31031. [1101002042][1101002042] Fjord Legend -M16A4 |
31032. [1101002043] [1101002043] Spirit Controller -M16A4 |
31033. [1101002044][1101002044] Graffiti Art -M16A4 |
31034. [1101002045][1101002045] Red Line - M16A4 |
31035. [1101002046][1101002046] Ice Witch -M16A4 |
31036. [1101002047][1101002047] Charming Night -M16A4 |
31037. [1101002048][1101002048] Scorching Madman -M16A4 |
31038. [1101002049][1101002049] Carved Wood and Inscriptions -M16A4 |
31039. [1101002050][1101002050] Aurora Pulse -M16A4 ( Level 1 ) | Can be upgraded in the research institute to obtain additional effects.
31040. [1101002051][1101002051] Aurora Pulse -M16A4 ( Level 2 ) | Can be upgraded at the Research Institute to obtain additional effects.
31041. [1101002052][1101002052] Aurora Pulse -M16A4 ( Level 3 ) | Can be upgraded at the Research Institute to obtain additional effects.
31042. [1101002053][1101002053] Aurora Pulse -M16A4 ( Level 4 ) | Can be upgraded in the research institute to obtain additional effects.
31043. [1101002054][1101002054] Aurora Pulse -M16A4 ( Level 5 ) | Can be upgraded at the Research Institute to obtain additional effects.
31044. [1101002055][1101002055] Aurora Pulse -M16A4 ( Level 6 ) | Can be upgraded in the research institute to obtain additional effects.
31045. [1101002056][1101002056] Aurora Pulse -M16A4 ( Level 7 ) | Can be upgraded in the research institute to obtain additional effects.
31046. [1101002057][1101002057] Giant Squid -M16A4 |
31047. [1101002058][1101002058] Leo -M16A4 |
31048. [1101002060][1101002060] Deadly Demon Swamp -M16A4 |
31049. [1101002061][1101002061] King Game -M16A4 |
31050. [1101002062][1101002062] World War Armor -M16A4 |
31051. [1101002063][1101002063] Snow Country Sakura -M16A4 |
31052. [1101002064][1101002064] Colorful Blade -M16A4 ( Level 1 ) | Can be upgraded in the research institute to obtain additional effects.
31053. [1101002065][1101002065] Colorful Blade -M16A4 ( Level 2 ) | Can be upgraded in the research institute to obtain additional effects.
31054. [1101002066][1101002066] Colorful Blade -M16A4 ( Level 3 ) | Can be upgraded in the research institute to obtain additional effects.
31055. [1101002067][1101002067] Colorful Blade -M16A4 ( Level 4 ) | Can be upgraded in the research institute to obtain additional effects.
31056. [1101002068][1101002068] Colorful Blade -M16A4 ( Level 5 ) | Can be upgraded in the research institute to obtain additional effects.
31057. [1101002070][1101002070] Glacier King -M16A4 |
31058. [1101002071][1101002071] Vegetable Package -M16A4 |
31059. [1101002073][1101002073] Golden Jade Bottle -M16A4 |
31060. [1101002074][1101002074] Golden Rune -M16A4 |
31061. [1101002075][1101002075] Scarlet Blood Moon -M16A4 ( Level 1 ) | Can be upgraded in the research institute to obtain additional effects.
31062. [1101002076][1101002076] Scarlet Blood Moon -M16A4 ( Level 2 ) | Can be upgraded in the research institute to obtain additional effects.
31063. [1101002077][1101002077] Scarlet Blood Moon -M16A4 ( Level 3 ) | Can be upgraded in the research institute to obtain additional effects.
31064. [1101002078][1101002078] Scarlet Blood Moon -M16A4 ( Level 4 ) | Can be upgraded in the research institute to obtain additional effects.
31065. [1101002079] [1101002079] Scarlet Blood Moon -M16A4 ( Level 5 ) | Can be upgraded in the research institute to obtain additional effects.
31066. [1101002080][1101002080] Scarlet Blood Moon -M16A4 ( Level 6 ) | Can be upgraded in the research institute to obtain additional effects.
31067. [1101002081][1101002081] Scarlet Blood Moon -M16A4 ( Level 7 ) | Can be upgraded in the research institute to obtain additional effects.
31068.[1101002083][1101002083] Palace Archon -M16A4 |
31069. [1101002084][1101002084] Daughter of the Ocean -M16A4 |
31070. [1101002085][1101002085] Bionic Technology -M16A4 |
31071. [1101002086][1101002086] Happy Melody -M16A4 |
31072. [1101002087][1101002087] Mr. Corn -M16A4 |
31073.[1101002089][1101002089] Harvest Corn -M16A4 |
31074. [1101002090][1101002090] 2022 PMWI M16A4 | 2022 PMWI event exclusive props
31075. [1101002091][1101002091] Pen tip sharpness -M16A4 |
31076. [1101002092][1101002092] Feather of the Wild -M16A4 |
31077. [1101002093][1101002093] Fragrant poisonous kiss -M16A4 |
31078. [1101002095][1101002095] Arc Ripple -M16A4 |
31079. [1101002097][1101002097] Steel Swift Shadow -M16A4 |
31080. [1101002098] [1101002098] Extreme Ice Queen -M16A4 |
31081. [1101002099][1101002099] Castle Dragon Guard -M16A4 ( Level 1 ) | Can be upgraded in the research institute to obtain additional effects.
31082. [1101002100][1101002100] Castle Dragon Guard -M16A4 ( Level 2 ) | Can be upgraded in the research institute to obtain additional effects.
31083. [1101002101][1101002101] Castle Dragon Guard -M16A4 ( Level 3 ) | Can be upgraded in the research institute to obtain additional effects.
31084. [1101002102][1101002102] Castle Dragon Guard -M16A4 ( Level 4 ) | Can be upgraded in the research institute to obtain additional effects.
31085. [1101002103][1101002103] Castle Dragon Guard -M16A4 ( Level 5 ) | Can be upgraded in the research institute to obtain additional effects.
31086. [1101002104][1101002104] PMSL Dream Chaser -M16A4 |
31087. [1101002105][1101002105] Cute girl -M16A4 |
31088. [1101002111] [1101002111] Extreme Ice Queen -M16A4 |
31162. [1101003086][1101002086] Happy Melody -M16A4 |
